Sample,X,Y,Z
170,0.1025,-0.8149,-1.0190
171,0.1443,0.0271,-0.8088
172,-0.0173,0.0623,-0.9924
173,-0.0596,0.0334,-1.0981
174,0.0779,-0.1750,-1.2522
175,0.2317,-0.1787,-1.0989
176,0.1074,-0.1689,-0.9448
177,0.0996,0.1833,-0.9995
178,-0.0081,-0.1523,-1.0981
179,0.0808,-0.3069,-1.1458
180,0.0103,-0.1428,-0.9973
181,0.2439,-0.2695,-1.0911
182,0.2585,0.9468,-0.9299
183,-0.0500,-0.7720,-0.9419
184,0.0293,-0.1951,-0.7993
185,0.0808,0.0679,-1.0891
186,0.1047,0.4070,-1.0415
187,0.1921,-0.7375,-1.0374
188,0.1294,-0.4399,-1.0757
189,0.0398,0.2285,-1.0151
190,-0.0779,-0.0820,-1.1389
191,0.0828,-0.5959,-1.1790
192,0.1792,-0.2573,-0.9927
193,0.2576,0.1184,-0.9280
194,-0.0366,0.0078,-0.9778
195,0.1455,0.2947,-1.1343
196,0.1626,-0.5483,-1.0415
197,0.0552,0.0984,-0.7622
198,0.0925,0.0088,-0.9905
199,0.0549,-0.0391,-1.1284
200,0.0381,-0.2551,-0.9993
201,0.0781,0.0188,-1.0073
202,0.0005,-0.0205,-0.9614
203,0.0710,-0.1753,-1.0327
204,0.0933,-0.3696,-1.1011
205,-0.0012,-0.1953,-1.0022
206,-0.0149,-0.0879,-1.2834
207,0.2827,0.9734,-1.0200
208,0.1243,-0.9778,-1.0032
209,0.1731,0.0581,-0.7854
210,-0.1689,0.1179,-0.9634
211,0.0991,0.2974,-1.2336
212,0.1294,-0.8354,-1.1460
213,0.2019,-0.2393,-1.0315
214,0.1182,0.1589,-0.7632
215,0.0042,-0.1140,-1.0171
216,0.0046,-0.4617,-1.2720
217,0.0867,0.0425,-0.9329
218,0.1887,-0.3269,-1.1597
219,0.0938,0.3230,-0.7837
220,0.1536,-0.0405,-1.2141
221,0.1462,-0.0962,-1.1858
222,-0.0645,-0.1460,-1.1733
223,0.1863,0.1489,-1.1399
224,0.0891,-0.2776,-0.8645
225,0.1206,-0.0300,-0.9536
226,0.0933,-0.0427,-1.1008
227,-0.0479,0.2563,-1.0891
228,-0.0242,-0.4319,-1.1077
229,0.2090,-0.0574,-0.8176
230,0.1287,-0.3889,-0.9524
231,-0.0186,-0.0581,-1.0688
232,-0.0745,-0.0815,-1.1421
233,0.0925,0.1211,-1.0825
234,0.2161,-0.6106,-0.9944
235,0.0886,0.1802,-0.8225
236,0.0793,0.1575,-0.9631
237,0.1252,-0.0505,-1.2300
238,-0.0798,-0.2207,-1.2886
239,0.2310,0.2000,-0.9546
240,0.2234,-0.2258,-0.9124
241,0.2129,-0.0164,-1.0208
242,0.0505,-0.2988,-0.9631
243,0.0403,0.0999,-1.0669
244,0.0625,-0.1360,-1.1272
245,0.1204,0.0176,-0.8472
246,0.1633,0.1987,-0.9377
247,0.0513,-0.1331,-0.9495
248,-0.1428,-0.3882,-1.0288
249,0.0305,0.1538,-1.1809
250,0.0730,0.3130,-1.1116
251,-0.0427,-0.5610,-1.1040
252,0.0430,-0.3352,-0.8909
253,0.0291,0.3345,-1.0559
254,0.0061,-0.2798,-1.2896
255,0.1130,-0.3342,-1.0813
256,0.3201,-0.4622,-1.1643
257,0.1450,0.3191,-0.7163
258,0.1069,0.1335,-1.0142
259,0.1133,-0.4370,-1.1899
260,0.0847,-0.3411,-0.9758
261,0.1631,0.1057,-0.9700
262,-0.0027,0.3315,-0.9358
263,-0.0647,-0.2603,-1.1460
264,-0.0515,-0.2905,-1.0923
265,0.0566,0.2668,-1.0012
266,0.0742,-0.1123,-1.1890
267,0.0754,-0.1812,-0.9907
268,0.1794,-0.2122,-1.1018
269,0.2808,-0.0496,-1.0229
270,0.1694,0.2251,-1.0891
271,0.1086,-0.1890,-1.1548
272,0.1355,-0.2358,-0.8901
273,0.2087,-0.2217,-1.0120
274,0.0452,0.3716,-1.0383
275,0.0427,-0.0569,-1.0933
276,-0.0295,-0.5129,-0.9983
277,0.0110,-0.1255,-0.7974
278,0.0818,-0.2034,-1.0686
279,-0.1545,-0.1423,-1.0989
280,-0.0293,-0.3098,-1.1614
281,0.0837,-0.1252,-1.1165
282,0.0906,0.0300,-0.9966
283,0.1968,-0.1897,-1.0657
284,0.1377,-0.0186,-1.0562
285,0.0776,-0.1143,-1.0874
286,0.2300,0.0740,-1.1460
287,0.1411,0.3142,-0.9722
288,0.2073,-0.5510,-1.2268
289,0.0574,-0.2307,-0.7747
290,0.1152,0.0837,-1.0317
291,0.0381,-0.0208,-1.1147
292,-0.0701,-0.6028,-1.2200
293,0.0935,-0.0608,-1.0334
294,0.0112,0.1248,-0.8521
295,-0.0059,0.1116,-0.9641
296,0.0105,-0.6174,-1.1536
297,0.0347,-0.0723,-1.0247
298,0.1306,-0.0229,-1.1643
299,0.1370,0.4565,-1.0793
300,0.1311,-0.8013,-1.2544
301,0.1331,-0.2368,-1.0474
302,0.0330,0.0547,-0.8684
303,0.2244,0.4302,-1.0725
304,0.0579,-0.8098,-1.2268
305,0.1519,-0.0942,-0.9712
306,0.1267,0.3511,-0.8567
307,-0.0469,0.3765,-0.9797
308,0.0095,-0.4309,-1.1096
309,0.1675,-0.3940,-0.9126
310,0.0872,0.0029,-0.9136
311,-0.0212,0.2537,-1.0815
312,0.0435,0.0068,-1.1470
313,0.0425,-0.7405,-1.0579
314,0.2065,-0.3267,-0.8384
315,0.1245,0.4666,-0.9351
316,0.0332,-0.3882,-1.3140
317,0.0452,-0.4722,-1.1255
318,0.1816,-0.1179,-1.1011
319,0.1160,0.5396,-0.8401
320,0.0933,-0.1650,-0.9888
321,0.1560,-0.5159,-1.1106
322,0.0464,-0.1125,-0.9875
323,-0.0630,0.3330,-1.0305
324,0.0437,0.3120,-0.9924
325,0.2048,-0.3430,-1.0813
326,0.0969,-0.7542,-0.8938
327,0.0203,0.6587,-0.7649
328,0.0042,0.2346,-1.1692
329,0.0876,-0.4143,-1.2092
330,0.1208,-0.6155,-1.0100
331,0.1523,0.3435,-0.8325
332,-0.0156,0.2151,-0.9143
333,0.0571,-0.4778,-1.2346
334,0.1807,-0.4397,-1.1057
335,0.1582,0.1040,-0.9741
336,0.0430,0.1538,-0.9045
337,0.0693,-0.2229,-1.0493
338,0.0498,-0.3501,-1.1138
339,0.0347,-0.1577,-0.9253
340,0.1729,0.6833,-0.9019
341,0.1367,-0.2434,-1.0403
342,0.1208,-0.0881,-0.9163
343,-0.0020,-0.3687,-1.0718
344,0.0127,0.5017,-1.1099
345,0.0623,-0.1582,-1.2427
346,0.1763,-0.5112,-1.1313
347,0.0896,-0.1135,-0.8723
348,0.0681,0.0862,-0.9739
349,0.0671,-0.0837,-1.1838
350,0.0774,-0.2524,-1.0981
351,0.2085,-0.1062,-0.8521
352,0.2700,0.4167,-0.9146
353,0.0955,-0.2227,-0.9526
354,0.0046,-0.0479,-0.8931
355,0.0664,-0.1277,-0.9839
356,-0.0352,-0.1531,-0.9602
357,-0.0144,0.1438,-0.9780
358,0.0596,-0.1157,-1.2319
359,0.0076,-0.3381,-1.0510
360,0.0515,-0.1667,-0.9553
361,0.2180,0.2683,-1.0015
362,0.1372,-0.3457,-1.1353
363,0.2083,-0.5110,-1.1858
364,0.1335,0.1304,-0.8547
365,0.1736,0.4497,-1.0754
366,-0.0115,0.0068,-0.9817
367,0.1255,-0.4849,-1.0952
368,0.2488,0.1157,-0.8889
369,-0.0710,0.3035,-0.8950
370,-0.1782,-0.0454,-1.0354
371,-0.0535,-0.6155,-1.0325
372,0.0869,-0.0625,-1.0002
373,0.0542,0.0879,-0.9670
374,0.0952,-0.0972,-1.0442
375,0.1689,-0.5012,-1.0725
376,0.1868,-0.2456,-1.1753
377,0.1064,0.2964,-1.0481
378,0.1848,0.0898,-0.9417
379,0.1604,-0.4819,-1.1177
380,0.1147,-0.1477,-1.1772
381,0.0127,0.4233,-1.1116
382,-0.0947,-0.2036,-1.0151
383,0.1208,-0.1301,-0.7317
384,0.2444,-0.0225,-1.0413
385,-0.1086,0.2156,-0.9868
386,-0.0278,-0.1619,-1.1157
387,0.1248,-0.2825,-1.0598
388,0.1348,-0.2546,-1.1079
389,0.0234,0.0378,-0.9075
390,0.1223,0.0818,-0.9810
391,0.1587,-0.4321,-1.1382
