Sample,X,Y,Z
769,0.1157,-0.1545,-1.0161
770,0.0918,-0.1182,-1.0081
771,0.0491,-0.0388,-1.0286
772,0.0576,-0.0576,-1.0520
773,0.1052,-0.1338,-1.0334
774,0.1162,-0.1489,-1.0122
775,0.0728,-0.0972,-1.0337
776,0.0569,-0.0181,-1.0591
777,0.0786,-0.0903,-1.0552
778,0.1221,-0.1575,-1.0168
779,0.1028,-0.1226,-1.0093
780,0.0415,-0.0222,-1.0249
781,0.0591,-0.0469,-1.0510
782,0.1123,-0.1506,-1.0305
783,0.1111,-0.1399,-1.0032
784,0.0730,-0.0791,-1.0288
785,0.0569,-0.0330,-1.0588
786,0.0942,-0.0869,-1.0493
787,0.1289,-0.1599,-1.0217
788,0.0996,-0.1128,-1.0122
789,0.0613,-0.0208,-1.0334
790,0.0674,-0.0603,-1.0503
791,0.1074,-0.1499,-1.0327
792,0.1162,-0.1418,-1.0061
793,0.0686,-0.0752,-1.0288
794,0.0552,-0.0305,-1.0669
795,0.0925,-0.1003,-1.0513
796,0.1208,-0.1621,-1.0139
797,0.0923,-0.1057,-1.0100
798,0.0642,-0.0186,-1.0295
799,0.0754,-0.0728,-1.0581
800,0.1125,-0.1455,-1.0237
801,0.1099,-0.1372,-1.0044
802,0.0586,-0.0632,-1.0269
803,0.0527,-0.0469,-1.0503
804,0.0942,-0.1064,-1.0542
805,0.1196,-0.1643,-1.0110
806,0.0935,-0.1138,-1.0181
807,0.0576,-0.0220,-1.0435
808,0.0713,-0.0635,-1.0522
809,0.1189,-0.1536,-1.0208
810,0.1086,-0.1487,-1.0034
811,0.0547,-0.0593,-1.0249
812,0.0525,-0.0371,-1.0522
813,0.1062,-0.1296,-1.0500
814,0.1282,-0.1646,-1.0132
815,0.0864,-0.1089,-1.0220
816,0.0610,-0.0120,-1.0403
817,0.0833,-0.0701,-1.0510
818,0.1206,-0.1511,-1.0308
819,0.0981,-0.1377,-0.9995
820,0.0491,-0.0547,-1.0188
