Sample,X,Y,Z
169,-0.0791,0.2129,-1.0210
170,0.0432,-0.4995,-1.1353
171,0.1260,-0.2913,-1.1565
172,0.0703,0.0776,-0.8938
173,0.1216,0.2888,-0.9565
174,0.1812,-0.3306,-1.1460
175,0.0566,-0.5173,-0.8987
176,-0.0090,-0.0012,-0.9087
177,0.0217,0.2134,-1.1458
178,0.1821,0.1240,-1.1646
179,0.1873,-0.6604,-0.9534
180,0.0469,-0.1135,-0.7385
181,0.0117,-0.1421,-1.0422
182,0.0945,0.1238,-1.1880
183,0.1294,-0.6995,-1.2454
184,0.1582,-0.2839,-1.0083
185,0.1926,-0.0256,-0.7935
186,0.0696,0.6169,-1.0532
187,0.0032,-0.5396,-1.3394
188,0.0610,-0.3726,-0.9214
189,0.1904,-0.2241,-0.9917
190,0.1238,0.8179,-0.9592
191,0.1052,-0.1052,-1.1741
192,0.1570,-0.3711,-1.0239
193,0.0872,-0.3918,-0.8850
194,0.0410,0.3259,-0.8530
195,-0.0317,-0.1792,-1.0581
196,-0.0437,-0.3496,-1.1001
197,0.1433,-0.5422,-1.0696
198,0.1074,0.8162,-0.9810
199,0.0027,-0.4182,-1.2522
200,0.0554,-0.2212,-0.9397
201,0.2703,-0.5383,-1.1477
202,0.0115,0.6948,-0.9065
203,0.0237,-0.2366,-1.1321
204,0.1843,-0.1438,-1.0100
205,0.0398,-0.4148,-0.9282
206,-0.0374,0.2107,-0.9507
207,-0.1096,-0.3921,-1.0874
208,0.0645,-0.1016,-0.9731
209,0.2251,-0.1855,-1.0024
210,0.2690,-0.3442,-1.0571
211,-0.0630,-0.1653,-0.9377
212,0.0647,0.7192,-1.0149
213,0.0571,-0.6174,-1.0735
214,0.2058,-0.4036,-1.1038
215,0.2268,0.5457,-0.9956
216,0.0173,0.1992,-1.0149
217,-0.0234,-0.3206,-1.0364
218,0.0735,-0.2529,-1.1389
219,0.0903,0.3552,-1.0229
220,0.1421,-0.2288,-1.1567
221,0.2324,-0.5601,-1.0005
222,0.2732,-0.1868,-0.9084
223,0.0581,0.4487,-1.0051
224,0.0542,-0.4036,-1.0637
225,0.1191,0.1899,-0.9817
226,0.0334,-0.3540,-0.9175
227,-0.0896,0.3472,-0.7766
228,0.0925,-0.1504,-1.1860
229,0.1418,-0.0608,-1.1685
230,0.0125,-0.3196,-1.0706
231,0.0725,0.0273,-0.9299
232,0.0217,-0.1245,-1.0444
233,0.2332,-0.0022,-1.2327
234,0.2139,-0.5425,-1.0718
235,0.1211,0.1096,-0.9407
236,0.1123,0.0706,-0.9153
237,0.1931,0.2036,-0.9866
238,0.0322,-0.5366,-1.0210
239,-0.0261,0.0986,-0.8596
240,0.0110,0.1548,-0.9983
241,0.1455,0.0325,-1.2268
242,0.0378,-0.4341,-0.9614
243,-0.0667,-0.1763,-0.8501
244,-0.0334,0.3384,-0.9133
245,0.0273,-0.4331,-1.1938
246,0.1125,-0.2085,-1.1382
247,0.1338,-0.0461,-1.0217
248,0.1899,-0.3257,-0.9292
249,0.1812,0.3367,-0.9507
250,0.1436,0.0244,-1.1313
251,0.1162,-0.4097,-1.0181
252,0.0854,-0.2163,-0.9585
253,0.1653,0.7612,-0.9045
254,-0.0068,-0.0564,-1.0337
255,-0.0508,-0.4761,-1.0464
256,0.0315,-0.0935,-0.8364
257,0.0691,0.2739,-1.0110
258,0.0269,-0.3091,-1.0825
259,0.1042,-0.3020,-1.1145
260,0.1267,0.1296,-0.9563
261,0.0850,-0.0229,-1.0149
262,0.1345,-0.1658,-1.0881
263,0.1543,-0.0286,-1.0168
264,0.1807,-0.2026,-1.1001
265,0.1990,-0.0664,-1.0745
266,0.1343,0.0071,-1.2466
267,0.1021,-0.3364,-1.0591
268,0.1289,0.3259,-0.8247
269,0.0627,-0.6917,-1.0100
270,0.0464,0.1003,-0.9116
271,0.0657,-0.0559,-1.3147
272,-0.1104,0.1099,-1.0227
273,-0.0667,-0.2769,-0.9624
274,0.1677,0.1997,-0.8665
275,0.0261,-0.2781,-0.9683
276,0.0002,-0.1196,-1.1265
277,0.1106,-0.0676,-1.1711
278,0.2285,0.0830,-1.1040
279,0.2212,-0.5044,-1.0835
280,0.3572,0.3765,-0.9397
281,0.1228,-0.3250,-1.1653
282,0.0803,0.4832,-0.9155
283,0.1877,-0.3733,-1.1262
284,0.0186,0.3262,-0.8892
285,-0.1353,0.0818,-0.9956
286,0.0898,-0.0332,-1.0269
287,-0.0244,-0.5425,-1.0317
288,0.0100,-0.3276,-1.0151
289,-0.0269,0.1343,-0.9487
290,0.1079,-0.2778,-1.0767
291,0.2390,-0.7659,-1.1760
292,0.1843,0.1279,-0.9993
293,0.0017,0.1130,-1.0786
294,0.0894,0.0601,-0.9253
295,0.2566,-0.4661,-1.2952
296,0.1265,-0.0840,-0.9790
297,0.0310,0.2300,-1.0178
298,-0.0754,0.2737,-1.1692
299,0.0579,-0.3303,-1.0686
300,0.2344,-0.3022,-0.9644
301,0.1482,-0.1963,-0.8967
302,0.0159,0.2322,-0.9624
303,0.0439,0.0137,-1.0796
304,0.0933,-0.4272,-1.1714
305,0.0298,-0.1406,-0.8879
306,0.1240,0.2371,-0.7358
307,0.1365,-0.1194,-1.1819
308,0.0129,-0.3706,-1.3159
309,-0.0168,-0.4517,-1.0601
310,0.1123,0.2742,-0.9282
311,0.0916,0.0266,-1.0286
312,0.1460,-0.6519,-1.1646
313,0.1323,-0.3674,-1.1663
314,0.0845,0.0837,-1.1597
315,0.0129,0.1362,-0.9485
316,0.1951,-0.3606,-1.1897
317,0.1653,-0.0869,-0.9143
318,0.0969,0.1226,-0.9543
319,0.0588,0.0427,-1.0620
