Sample,X,Y,Z
0,0.0593,-0.1062,-1.0159
1,0.0474,-0.0557,-1.0093
2,0.0945,-0.0972,-1.0337
3,0.1177,-0.1772,-1.0571
4,0.0754,-0.1401,-1.0220
5,0.0566,-0.0725,-1.0227
6,0.1050,-0.0564,-1.0356
7,0.1265,-0.1289,-1.0522
8,0.0833,-0.1711,-1.0325
9,0.0569,-0.0977,-1.0181
10,0.0596,-0.0535,-1.0054
11,0.0857,-0.0959,-1.0383
12,0.0974,-0.1772,-1.0474
13,0.0850,-0.1392,-1.0190
14,0.0591,-0.0649,-1.0220
15,0.0896,-0.0540,-1.0325
16,0.1296,-0.1343,-1.0522
17,0.0945,-0.1653,-1.0344
18,0.0466,-0.0964,-1.0100
19,0.0752,-0.0369,-1.0093
20,0.1135,-0.1079,-1.0442
21,0.0925,-0.1755,-1.0393
22,0.0801,-0.1255,-1.0198
23,0.0659,-0.0642,-1.0298
24,0.0879,-0.0688,-1.0317
25,0.1287,-0.1384,-1.0452
26,0.0945,-0.1597,-1.0374
27,0.0396,-0.0901,-1.0054
28,0.0754,-0.0386,-1.0178
29,0.1094,-0.1140,-1.0396
30,0.0867,-0.1816,-1.0413
31,0.0674,-0.1201,-1.0256
32,0.0618,-0.0620,-1.0220
33,0.0916,-0.0764,-1.0374
34,0.1226,-0.1382,-1.0454
35,0.0896,-0.1624,-1.0383
36,0.0476,-0.0854,-1.0061
37,0.0759,-0.0415,-1.0217
38,0.1113,-0.1165,-1.0452
39,0.0908,-0.1763,-1.0386
40,0.0625,-0.1147,-1.0181
41,0.0610,-0.0603,-1.0220
42,0.1030,-0.0811,-1.0493
43,0.1167,-0.1543,-1.0483
44,0.0898,-0.1487,-1.0305
45,0.0637,-0.0608,-1.0142
46,0.0835,-0.0425,-1.0200
47,0.1133,-0.1162,-1.0454
48,0.1042,-0.1787,-1.0383
49,0.0593,-0.1184,-1.0217
50,0.0427,-0.0498,-1.0090
51,0.0989,-0.0964,-1.0376
52,0.1128,-0.1699,-1.0552
53,0.0686,-0.1440,-1.0229
