Sample,X,Y,Z
0,0.0654,-0.0195,-1.0347
1,0.1414,-0.1335,-1.0461
2,0.1296,-0.1868,-1.0276
3,0.0430,-0.0764,-1.0112
4,0.0273,0.0066,-1.0208
5,0.1099,-0.0981,-1.0532
6,0.1433,-0.1926,-1.0393
7,0.0771,-0.1350,-1.0237
8,0.0200,-0.0215,-1.0198
9,0.0762,-0.0239,-1.0366
10,0.1443,-0.1609,-1.0500
11,0.1150,-0.1721,-1.0286
12,0.0322,-0.0549,-1.0112
13,0.0366,-0.0112,-1.0239
14,0.1216,-0.1074,-1.0454
15,0.1277,-0.1956,-1.0334
16,0.0647,-0.1094,-1.0239
17,0.0239,-0.0059,-1.0239
18,0.0847,-0.0613,-1.0422
19,0.1448,-0.1655,-1.0493
20,0.1045,-0.1565,-1.0217
21,0.0337,-0.0562,-1.0151
22,0.0518,0.0037,-1.0278
23,0.1252,-0.1213,-1.0471
24,0.1274,-0.1863,-1.0298
25,0.0542,-0.0996,-1.0161
26,0.0247,-0.0085,-1.0247
27,0.0906,-0.0654,-1.0366
28,0.1482,-0.1877,-1.0461
29,0.1035,-0.1482,-1.0237
30,0.0278,-0.0283,-1.0190
31,0.0674,-0.0256,-1.0354
32,0.1406,-0.1353,-1.0425
33,0.1252,-0.1809,-1.0308
34,0.0505,-0.0776,-1.0247
35,0.0300,-0.0090,-1.0227
36,0.1030,-0.0825,-1.0415
37,0.1379,-0.1804,-1.0422
38,0.0815,-0.1416,-1.0259
39,0.0217,-0.0247,-1.0188
40,0.0823,-0.0210,-1.0364
41,0.1458,-0.1467,-1.0530
42,0.1138,-0.1772,-1.0210
43,0.0342,-0.0637,-1.0168
44,0.0361,-0.0002,-1.0249
45,0.1099,-0.1123,-1.0425
46,0.1423,-0.1926,-1.0403
47,0.0737,-0.1150,-1.0276
48,0.0237,-0.0315,-1.0276
49,0.0808,-0.0383,-1.0452
50,0.1384,-0.1523,-1.0454
51,0.1023,-0.1689,-1.0198
52,0.0354,-0.0576,-1.0159
53,0.0461,-0.0012,-1.0269
54,0.1130,-0.1072,-1.0435
55,0.1343,-0.1616,-1.0376
56,-0.1311,-0.1040,-0.9429
57,-0.3374,-0.0623,-0.9417
58,-0.1763,-0.0691,-1.1428
59,-0.1670,-0.1018,-1.1184
60,-0.3879,-0.2764,-0.9468
61,-0.4700,-0.0056,-0.9995
62,-0.4585,0.0471,-1.0920
63,-0.5327,-0.1465,-1.0920
64,-0.4546,-0.2668,-0.9915
65,-0.3147,-0.1912,-1.0259
66,-0.3530,0.1621,-1.0959
67,-0.3687,0.0413,-1.0227
68,-0.1399,-0.3354,-0.9976
69,-0.0920,-0.0256,-0.9771
70,-0.4910,0.1921,-0.9985
71,-0.7095,-0.2952,-1.0334
72,-0.4739,-0.3599,-1.0845
73,-0.3831,0.0188,-1.1157
74,-0.7446,0.2847,-0.8450
75,-0.5334,-0.2905,-1.0669
76,-0.2002,-0.5103,-1.2739
77,-0.5161,0.2124,-1.0081
78,-0.7180,0.1882,-0.9331
79,-0.2141,-0.2981,-0.9709
80,-0.0447,-0.3579,-1.1255
81,-0.3577,0.0837,-1.0669
82,-0.4812,0.1091,-0.8999
83,-0.2727,-0.4019,-1.0142
84,-0.4116,-0.2795,-1.0784
85,-0.7271,0.1069,-0.9436
86,-0.5894,-0.0420,-1.0159
