RepRapFirmware height map file v2 generated at 2026-04-09 01:04, min error -0.273, max error 0.082, mean -0.030, deviation 0.065
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,20.00,290.00,20.00,270.00,-1.00,14.21,13.16,20,20
 -0.065, -0.016, -0.016, -0.016, -0.021, -0.031, -0.036, -0.042, -0.042, -0.042, -0.042, -0.053, -0.059, -0.065, -0.059, -0.059, -0.048, -0.036, -0.021, -0.021
 -0.059, -0.006, -0.006, -0.004, -0.010, -0.021, -0.027, -0.042, -0.042, -0.042, -0.048, -0.053, -0.053, -0.048, -0.048, -0.036, -0.031, -0.021, -0.021, -0.021
 -0.042,  0.011,  0.005,  0.005, -0.001, -0.006, -0.016, -0.021, -0.027, -0.031, -0.042, -0.048, -0.059, -0.053, -0.048, -0.036, -0.027, -0.027, -0.027, -0.031
 -0.036,  0.016,  0.018,  0.016,  0.012,  0.005, -0.006, -0.016, -0.017, -0.027, -0.031, -0.048, -0.053, -0.053, -0.048, -0.031, -0.027, -0.016, -0.016, -0.021
 -0.016,  0.035,  0.035,  0.035,  0.029,  0.016,  0.005, -0.010, -0.012, -0.021, -0.021, -0.036, -0.048, -0.048, -0.048, -0.036, -0.031, -0.027, -0.027, -0.027
 -0.010,  0.046,  0.040,  0.035,  0.029,  0.024,  0.011, -0.006, -0.010, -0.027, -0.031, -0.031, -0.042, -0.042, -0.036, -0.036, -0.036, -0.031, -0.027, -0.027
  0.011,  0.060,  0.055,  0.049,  0.049,  0.035,  0.024,  0.016,  0.005, -0.016, -0.027, -0.031, -0.036, -0.031, -0.031, -0.027, -0.031, -0.031, -0.027, -0.036
  0.012,  0.060,  0.060,  0.049,  0.046,  0.035,  0.024,  0.018,  0.011, -0.006, -0.023, -0.031, -0.042, -0.042, -0.031, -0.031, -0.031, -0.031, -0.031, -0.036
  0.029,  0.077,  0.077,  0.071,  0.066,  0.055,  0.046,  0.024,  0.018,  0.005, -0.006, -0.016, -0.031, -0.036, -0.031, -0.031, -0.031, -0.027, -0.027, -0.036
  0.024,  0.071,  0.071,  0.066,  0.060,  0.055,  0.040,  0.024,  0.012,  0.005, -0.012, -0.023, -0.031, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.042
  0.035,  0.082,  0.071,  0.071,  0.066,  0.060,  0.055,  0.040,  0.024,  0.007, -0.016, -0.027, -0.036, -0.036, -0.036, -0.036, -0.036, -0.048, -0.042, -0.059
  0.029,  0.077,  0.066,  0.060,  0.055,  0.049,  0.046,  0.029,  0.012, -0.010, -0.021, -0.036, -0.053, -0.053, -0.053, -0.053, -0.048, -0.059, -0.065, -0.071
  0.018,  0.071,  0.066,  0.066,  0.055,  0.046,  0.035,  0.029,  0.012, -0.010, -0.031, -0.048, -0.065, -0.065, -0.071, -0.065, -0.071, -0.075, -0.075, -0.080
  0.007,  0.066,  0.071,  0.077,  0.066,  0.046,  0.035,  0.024,  0.011, -0.016, -0.036, -0.053, -0.071, -0.075, -0.084, -0.075, -0.080, -0.090, -0.096, -0.100
  0.005,  0.055,  0.055,  0.066,  0.066,  0.046,  0.029,  0.018, -0.001, -0.021, -0.048, -0.065, -0.080, -0.090, -0.096, -0.105, -0.111, -0.121, -0.127, -0.133
 -0.001,  0.049,  0.046,  0.049,  0.046,  0.035,  0.029,  0.012, -0.001, -0.021, -0.048, -0.071, -0.084, -0.090, -0.100, -0.111, -0.115, -0.133, -0.144, -0.154
 -0.016,  0.040,  0.035,  0.029,  0.018,  0.012,  0.011, -0.006, -0.027, -0.048, -0.075, -0.090, -0.111, -0.127, -0.133, -0.148, -0.154, -0.166, -0.172, -0.192
 -0.031,  0.029,  0.018,  0.012,  0.005, -0.001, -0.004, -0.027, -0.048, -0.071, -0.090, -0.100, -0.121, -0.144, -0.166, -0.178, -0.180, -0.184, -0.198, -0.214
 -0.042,  0.016,  0.005, -0.004, -0.010, -0.016, -0.027, -0.042, -0.065, -0.080, -0.100, -0.115, -0.139, -0.166, -0.186, -0.198, -0.210, -0.222, -0.226, -0.249
 -0.048, -0.001, -0.016, -0.023, -0.027, -0.031, -0.036, -0.059, -0.071, -0.084, -0.096, -0.117, -0.148, -0.184, -0.204, -0.214, -0.230, -0.242, -0.255, -0.273
